x1,x2,x3,class
-5.01,-8.12,-3.68,0
-5.43,-3.48,-3.54,0
1.08,-5.52,1.66,0
0.86,-3.78,-4.11,0
-2.67,0.63,7.39,0
4.94,3.29,2.08,0
-2.51,2.09,-2.59,0
-2.25,-2.13,-6.94,0
5.56,2.86,-2.26,0
1.03,-3.33,4.33,0
-0.91,-0.18,-0.05,1
1.30,-2.06,-3.53,1
-7.75,-4.54,-0.95,1
-5.47,0.50,3.92,1
6.14,5.72,-4.85,1
3.60,1.26,4.36,1
5.37,-4.63,-3.65,1
7.18,1.46,-6.66,1
-7.39,1.17,6.30,1
-7.50,-6.32,-0.31,1
5.35,2.26,8.13,2
5.12,3.22,-2.66,2
-1.34,-5.31,-9.87,2
4.48,3.42,5.19,2
7.11,2.39,9.21,2
7.17,4.33,-0.98,2
5.75,3.97,6.65,2
0.77,0.27,2.41,2
0.90,-0.43,-8.71,2
3.52,-0.36,6.43,2

